,evaluation_algo,survival_selection,parent_selection,crossover_method,number_of_generations,accuracy,num_features
0,knn,elitism,uniform,uniform,13,0.9824561403508771,17
1,knn,elitism,uniform,n_point,20,0.9824561403508771,16
2,knn,elitism,uniform,1_point,1,0.9824561403508771,11
3,knn,elitism,fps,uniform,3,0.9824561403508771,14
4,knn,elitism,fps,n_point,5,0.9824561403508771,16
5,knn,elitism,fps,1_point,28,0.9824561403508771,13
6,knn,genitor,uniform,uniform,315,0.9824561403508771,14
7,knn,genitor,uniform,n_point,12,0.9824561403508771,14
8,knn,genitor,uniform,1_point,132,0.9824561403508771,12
9,knn,genitor,fps,uniform,74,0.9824561403508771,8
10,knn,genitor,fps,n_point,63,0.9824561403508771,13
11,knn,genitor,fps,1_point,337,0.9824561403508771,13
12,knn,"m,l",uniform,uniform,2,0.9824561403508771,18
13,knn,"m,l",uniform,n_point,7,0.9824561403508771,13
14,knn,"m,l",uniform,1_point,1,0.9824561403508771,8
15,knn,"m,l",fps,uniform,7,0.9824561403508771,16
16,knn,"m,l",fps,n_point,26,0.9824561403508771,15
17,knn,"m,l",fps,1_point,3,0.9824561403508771,10
18,knn,m+l,uniform,uniform,2,0.9824561403508771,14
19,knn,m+l,uniform,n_point,22,0.9824561403508771,9
20,knn,m+l,uniform,1_point,22,0.9824561403508771,17
21,knn,m+l,fps,uniform,2,0.9824561403508771,14
22,knn,m+l,fps,n_point,39,0.9824561403508771,17
23,knn,m+l,fps,1_point,13,0.9824561403508771,17
24,dt,elitism,uniform,uniform,71,0.9824561403508771,12
25,dt,elitism,uniform,n_point,140,0.9824561403508771,13
26,dt,elitism,uniform,1_point,281,0.9824561403508771,12
27,dt,elitism,fps,uniform,126,0.9912280701754386,13
28,dt,elitism,fps,n_point,88,0.9912280701754386,12
29,dt,elitism,fps,1_point,5,0.9824561403508771,17
30,dt,genitor,uniform,uniform,1315,0.9912280701754386,10
31,dt,genitor,uniform,n_point,40,0.9912280701754386,13
32,dt,genitor,uniform,1_point,1227,0.9824561403508771,18
33,dt,genitor,fps,uniform,277,0.9824561403508771,11
34,dt,genitor,fps,n_point,207,0.9912280701754386,14
35,dt,genitor,fps,1_point,3807,0.9912280701754386,14
36,dt,"m,l",uniform,uniform,16,0.9912280701754386,12
37,dt,"m,l",uniform,n_point,99,0.9824561403508771,14
38,dt,"m,l",uniform,1_point,17,0.9824561403508771,11
39,dt,"m,l",fps,uniform,29,0.9824561403508771,16
40,dt,"m,l",fps,n_point,10,0.9824561403508771,15
41,dt,"m,l",fps,1_point,58,0.9824561403508771,12
42,dt,m+l,uniform,uniform,33,0.9824561403508771,17
43,dt,m+l,uniform,n_point,81,0.9824561403508771,11
44,dt,m+l,uniform,1_point,30,0.9824561403508771,18
45,dt,m+l,fps,uniform,187,0.9824561403508771,15
46,dt,m+l,fps,n_point,256,0.9824561403508771,13
47,dt,m+l,fps,1_point,738,0.9824561403508771,16
