,evaluation_algo,survival_selection,parent_selection,crossover_method,number_of_generations,accuracy,num_features
0,knn,elitism,uniform,uniform,10,0.7402597402597403,3
1,knn,elitism,uniform,n_point,8,0.7402597402597403,5
2,knn,elitism,uniform,1_point,2,0.7402597402597403,3
3,knn,elitism,fps,uniform,8,0.7402597402597403,5
4,knn,elitism,fps,n_point,6,0.7402597402597403,4
5,knn,elitism,fps,1_point,1,0.7402597402597403,3
6,knn,genitor,uniform,uniform,20,0.7402597402597403,4
7,knn,genitor,uniform,n_point,132,0.7402597402597403,4
8,knn,genitor,uniform,1_point,448,0.7402597402597403,4
9,knn,genitor,fps,uniform,98,0.7402597402597403,5
10,knn,genitor,fps,n_point,1,0.7402597402597403,3
11,knn,genitor,fps,1_point,41,0.7402597402597403,5
12,knn,"m,l",uniform,uniform,2,0.7402597402597403,5
13,knn,"m,l",uniform,n_point,2,0.7402597402597403,5
14,knn,"m,l",uniform,1_point,14,0.7402597402597403,3
15,knn,"m,l",fps,uniform,3,0.7402597402597403,5
16,knn,"m,l",fps,n_point,1,0.7402597402597403,3
17,knn,"m,l",fps,1_point,3,0.7402597402597403,3
18,knn,m+l,uniform,uniform,7,0.7402597402597403,3
19,knn,m+l,uniform,n_point,8,0.7402597402597403,5
20,knn,m+l,uniform,1_point,14,0.7402597402597403,4
21,knn,m+l,fps,uniform,24,0.7402597402597403,4
22,knn,m+l,fps,n_point,26,0.7402597402597403,4
23,knn,m+l,fps,1_point,34,0.7402597402597403,4
24,dt,elitism,uniform,uniform,1,0.7402597402597403,7
25,dt,elitism,uniform,n_point,6,0.7402597402597403,5
26,dt,elitism,uniform,1_point,9,0.7532467532467533,6
27,dt,elitism,fps,uniform,1,0.7467532467532467,6
28,dt,elitism,fps,n_point,8,0.7532467532467533,6
29,dt,elitism,fps,1_point,11,0.7597402597402597,7
30,dt,genitor,uniform,uniform,9,0.7532467532467533,6
31,dt,genitor,uniform,n_point,214,0.7727272727272727,6
32,dt,genitor,uniform,1_point,92,0.7532467532467533,6
33,dt,genitor,fps,uniform,1,0.7532467532467533,6
34,dt,genitor,fps,n_point,10,0.7402597402597403,6
35,dt,genitor,fps,1_point,10,0.7727272727272727,6
36,dt,"m,l",uniform,uniform,4,0.7532467532467533,6
37,dt,"m,l",uniform,n_point,5,0.7467532467532467,8
38,dt,"m,l",uniform,1_point,8,0.7727272727272727,6
39,dt,"m,l",fps,uniform,5,0.7727272727272727,6
40,dt,"m,l",fps,n_point,9,0.7597402597402597,7
41,dt,"m,l",fps,1_point,7,0.7532467532467533,6
42,dt,m+l,uniform,uniform,29,0.7467532467532467,6
43,dt,m+l,uniform,n_point,4,0.7597402597402597,7
44,dt,m+l,uniform,1_point,1,0.7467532467532467,6
45,dt,m+l,fps,uniform,7,0.7857142857142857,7
46,dt,m+l,fps,n_point,5,0.7532467532467533,6
47,dt,m+l,fps,1_point,14,0.7402597402597403,7
